"From","To","Distance","MaxNumber"
"OEVE","WV12","2,7160","1"
"STAV","LC1","2,2436","1"
"VOLE","MN1-GZ2","0,5379","1"
"LEMMER","SB40","4,1802","1"
"MED","SPORT-C","1,5452","1"
"LELY-N","SPORT-E","5,1737","1"
"HOORN","SPORT-G","3,9741","1"
"LELY-Z","SPORT-I","2,6840","1"
"HOEK-Y","SPORT-J","4,3088","1"
"HIND","H2-W1","0,2056","1"
"ENK-N","KG","1,3053","1"
"ENK-Z","KG10","0,6333","1"
"DEN HELDER","T1","1,0942","1"
