twa/tws;6;8;10;12;14;16;20
0;0;0;0;0;0;0;0
52;4.72;5.70;6.42;6.90;7.22;7.41;7.59
60;5.03;6.00;6.69;7.11;7.39;7.59;7.84
75;5.24;6.22;6.88;7.28;7.56;7.78;8.16
90;5.37;6.48;7.19;7.60;7.91;8.15;8.39
110;5.40;6.56;7.27;7.70;8.06;8.40;9.07
120;5.21;6.36;7.15;7.62;7.99;8.36;9.11
135;4.67;5.83;6.73;7.32;7.73;8.10;8.83
150;3.95;5.05;5.96;6.66;7.13;7.47;8.04
